Time,Open,High,Low,Last,Change,Volume
"04/06/20 16:00",60.45,60.45,60.45,60.45,-0.029999999999994,134800
"04/06/20 15:30",60.28,60.72,60.2,60.48,0.19,322600
"04/06/20 15:00",60.35,60.5,60.25,60.29,-0.060000000000002,125200
"04/06/20 14:30",60.46,60.5,60.28,60.35,-0.1,51300
"04/06/20 14:00",60.49,60.6,60.36,60.45,-0.029999999999994,75500
"04/06/20 13:30",60.81,60.82,60.45,60.48,-0.32,39900
"04/06/20 13:00",60.98,61,60.75,60.8,-0.13,39400
"04/06/20 12:30",60.76,60.98,60.71,60.93,0.2,54900
"04/06/20 12:00",61.05,61.15,60.73,60.73,-0.31,52500
"04/06/20 11:30",61.44,61.52,60.9,61.04,-0.39,64000
"04/06/20 11:00",60.95,61.65,60.91,61.43,0.48,77700
"04/06/20 10:30",60.49,61.27,60.43,60.95,0.48,103600
"04/06/20 10:00",59.53,60.53,59.53,60.47,1,89400
"04/06/20 09:30",58.67,59.92,58.45,59.47,1.76,102400
"04/03/20 16:00",57.71,57.71,57.71,57.71,0,200
"04/03/20 16:00",57.71,57.71,57.71,57.71,-0.079999999999998,57500
"04/03/20 15:30",57.37,57.88,57.37,57.79,0.43,94400
"04/03/20 15:00",57.35,57.42,57.21,57.36,0,36600
"04/03/20 14:30",57.71,57.71,57.21,57.36,-0.34,59400
"04/03/20 14:00",57.88,57.89,57.59,57.7,-0.15,33600
"04/03/20 13:30",57.6,57.91,57.42,57.85,0.25,26700
"04/03/20 13:00",57.68,57.71,57.54,57.6,-0.039999999999999,15100
"04/03/20 12:30",57.4,57.91,57.33,57.64,0.22,22500
"04/03/20 12:00",57.98,57.98,57.38,57.42,-0.55,27800
"04/03/20 11:30",57.37,58,57.34,57.97,0.63,27800
"04/03/20 11:00",57.59,57.64,57.33,57.34,-0.23,38500
"04/03/20 10:30",57.68,58.1,57.4,57.57,-0.07,34400
"04/03/20 10:00",57.27,57.82,57.27,57.64,0.44,34000
"04/03/20 09:30",56.84,57.42,56.22,57.2,0.07,59500
"04/02/20 16:00",57.13,57.13,57.13,57.13,0.11,100
"04/02/20 15:30",57.01,57.48,56.89,57.02,0.010000000000005,149900
"04/02/20 15:00",57.16,57.5,56.9,57.01,-0.12,36700
"04/02/20 14:30",56.78,57.15,56.76,57.13,0.35,28800
"04/02/20 14:00",56.86,56.97,56.67,56.78,-0.1,36200
"04/02/20 13:30",56.68,56.95,56.45,56.88,0.17,23200
"04/02/20 13:00",56.3,56.88,56.3,56.71,0.41,23100
"04/02/20 12:30",56.57,56.62,56.24,56.3,-0.25,26600
"04/02/20 12:00",56.95,56.95,56.53,56.55,-0.41,62400
"04/02/20 11:30",57.11,57.14,56.78,56.96,-0.17,29000
"04/02/20 11:00",56.89,57.19,56.66,57.13,0.23,39300
"04/02/20 10:30",57.24,57.6,56.63,56.9,-0.35,44700
"04/02/20 10:00",56.89,57.34,56.77,57.25,0.38,44200
"04/02/20 09:30",56.53,57.11,56.53,56.87,-0.21,39900
"04/01/20 16:00",57.08,57.08,57.08,57.08,0.18,200
"04/01/20 15:30",57.12,57.22,56.9,56.9,-0.21,184100
"04/01/20 15:00",57.5,57.5,57.02,57.11,-0.36,96100
"04/01/20 14:30",57.46,57.53,57.21,57.47,0.009999999999998,54600
"04/01/20 14:00",57.51,57.61,57.43,57.46,-0.039999999999999,66700
"04/01/20 13:30",57.86,57.91,57.48,57.5,-0.4,55800
"04/01/20 13:00",57.65,58.13,57.65,57.9,0.24,51500
"04/01/20 12:30",57.68,57.8,57.61,57.66,0,48000
"04/01/20 12:00",57.59,58.02,57.51,57.66,0.049999999999997,66100
"04/01/20 11:30",57.53,57.83,57.25,57.61,0.049999999999997,46300
"04/01/20 11:00",57.77,57.9,57.55,57.56,-0.22,36700
"04/01/20 10:30",57.03,58.04,57.03,57.78,0.76,83400
"04/01/20 10:00",57.48,57.48,56.4,57.02,-0.41999999999999,43500
"04/01/20 09:30",56.54,57.7,56.52,57.44,0.53,62900
"03/31/20 16:00",56.91,56.91,56.91,56.91,-0.040000000000006,472300
"03/31/20 15:30",57.42,57.6,56.92,56.95,-0.45,176500
"03/31/20 15:00",57.1,57.47,57.1,57.4,0.31,51500
"03/31/20 14:30",57.16,57.52,57.07,57.09,-0.059999999999995,28400
"03/31/20 14:00",57.5,57.62,57.15,57.15,-0.32,25800
"03/31/20 13:30",57.06,57.79,56.88,57.47,0.39,24900
"03/31/20 13:00",56.95,57.15,56.93,57.08,-0.11,14300
"03/31/20 12:30",56.91,57.29,56.74,57.19,0.21,10300
"03/31/20 12:00",57,57.42,56.92,56.98,-0.060000000000002,21400
"03/31/20 11:30",56.8,57.1,56.74,57.04,0.24,22300
"03/31/20 11:00",57.01,57.06,56.59,56.8,-0.2,24200
"03/31/20 10:30",56.99,57.28,56.8,57,0.049999999999997,38900
"03/31/20 10:00",57.15,57.25,56.73,56.95,-0.16999999999999,37300
"03/31/20 09:30",56.65,57.49,55.36,57.12,0.29,43100
"03/30/20 16:00",56.83,56.83,56.83,56.83,0,109600
"03/30/20 15:30",56.46,56.83,56.32,56.83,0.4,119800
"03/30/20 15:00",55.92,56.6,55.92,56.43,0.5,39700
"03/30/20 14:30",55.84,56.28,55.81,55.93,0.07,20900
"03/30/20 14:00",56.03,56.12,55.75,55.86,-0.23,27200
"03/30/20 13:30",56.01,56.15,55.91,56.09,0.060000000000002,18100
"03/30/20 13:00",56.15,56.16,55.97,56.03,-0.13,28700
"03/30/20 12:30",56.13,56.23,56.06,56.16,0.029999999999994,23000
"03/30/20 12:00",55.66,56.13,55.56,56.13,0.46,39200
"03/30/20 11:30",55.82,55.82,55.58,55.67,-0.12,24700
