Time,Open,High,Low,Last,Change,Volume
"04/06/20 16:00",31,31,31,31,-0.09,200
"04/06/20 15:30",30.49,31.4,30.42,31.09,0.6,163600
"04/06/20 15:00",30.62,30.62,30.33,30.49,-0.14,31400
"04/06/20 14:30",30.67,30.74,30.61,30.63,-0.02,28900
"04/06/20 14:00",30.33,30.72,30.31,30.65,0.31,33200
"04/06/20 13:30",30.4,30.47,30.25,30.34,-0.07,25800
"04/06/20 13:00",30.71,30.71,30.33,30.41,-0.28,23800
"04/06/20 12:30",30.48,30.87,30.47,30.69,0.21,38500
"04/06/20 12:00",30.27,30.53,30.26,30.48,0.22,26600
"04/06/20 11:30",29.65,30.3,29.65,30.26,0.61,43000
"04/06/20 11:00",29.51,29.78,29.46,29.65,0.14,47100
"04/06/20 10:30",29.32,29.56,29.32,29.51,0.19,44200
"04/06/20 10:00",29.6,29.74,29.03,29.32,-0.21,25600
"04/06/20 09:30",28.54,29.79,28.33,29.53,1.73,72600
"04/03/20 16:00",27.8,27.8,27.8,27.8,0,200
"04/03/20 16:00",27.8,27.8,27.8,27.8,0.010000000000002,66100
"04/03/20 15:30",27.48,28.07,27.43,27.79,0.33,112800
"04/03/20 15:00",27.65,27.66,27.43,27.46,-0.19,45000
"04/03/20 14:30",27.75,27.78,27.54,27.65,-0.080000000000002,47000
"04/03/20 14:00",27.62,27.75,27.39,27.73,0.1,43400
"04/03/20 13:30",27.44,27.63,27.33,27.63,0.16,35900
"04/03/20 13:00",27.56,27.68,27.42,27.47,-0.1,29500
"04/03/20 12:30",27.74,27.92,27.57,27.57,-0.19,28200
"04/03/20 12:00",27.92,27.92,27.73,27.76,-0.15,25500
"04/03/20 11:30",27.48,27.94,27.44,27.91,0.38,30600
"04/03/20 11:00",28.02,28.12,27.53,27.53,-0.51,32100
"04/03/20 10:30",28.08,28.3,27.89,28.04,-0.010000000000002,32200
"04/03/20 10:00",27.82,28.19,27.82,28.05,0.25,29500
"04/03/20 09:30",27.86,27.86,27.28,27.8,0.2,34000
"04/02/20 16:00",27.6,27.6,27.6,27.6,-0.009999999999998,400
"04/02/20 15:30",27.69,27.72,27.47,27.61,-0.060000000000002,152200
"04/02/20 15:00",27.87,28,27.63,27.67,-0.18,59500
"04/02/20 14:30",27.78,27.92,27.68,27.85,0.07,48700
"04/02/20 14:00",27.64,27.81,27.62,27.78,0.15,29900
"04/02/20 13:30",27.6,27.68,27.42,27.63,0.029999999999998,37400
"04/02/20 13:00",27.59,27.67,27.41,27.6,-0.009999999999998,23400
"04/02/20 12:30",27.51,27.68,27.48,27.61,0.11,37700
"04/02/20 12:00",27.29,27.53,27.25,27.5,0.22,45700
"04/02/20 11:30",27.4,27.4,27.14,27.28,-0.12,21700
"04/02/20 11:00",27.62,27.86,27.26,27.4,-0.21,36600
"04/02/20 10:30",27.66,27.92,27.2,27.61,-0.039999999999999,73000
"04/02/20 10:00",27.56,27.85,27.38,27.65,0.039999999999999,68200
"04/02/20 09:30",28.5,28.56,27.28,27.61,-0.83,58800
"04/01/20 16:00",28.44,28.44,28.44,28.44,0,300800
"04/01/20 15:30",28.23,28.44,28.19,28.44,0.22,78200
"04/01/20 15:00",28.25,28.3,28.2,28.22,-0.050000000000001,25500
"04/01/20 14:30",28.35,28.37,28.19,28.27,-0.1,26500
"04/01/20 14:00",28.38,28.52,28.36,28.37,0.030000000000001,18500
"04/01/20 13:30",28.41,28.47,28.19,28.34,-0.080000000000002,27400
"04/01/20 13:00",28.22,28.44,28.19,28.42,0.2,23700
"04/01/20 12:30",28.25,28.37,28.14,28.22,-0.030000000000001,23700
"04/01/20 12:00",28.17,28.4,28.1,28.25,0.09,26100
"04/01/20 11:30",27.99,28.27,27.93,28.16,0.15,28500
"04/01/20 11:00",28.01,28.18,27.95,28.01,0,16000
"04/01/20 10:30",27.78,28.06,27.71,28.01,0.28,16400
"04/01/20 10:00",28.13,28.2,27.5,27.73,-0.47,49400
"04/01/20 09:30",27.25,28.63,26.89,28.2,0.51,65200
"03/31/20 15:30",27.91,28.04,27.54,27.69,-0.21,164300
"03/31/20 15:00",27.91,28.13,27.82,27.9,0,27300
"03/31/20 14:30",28.14,28.27,27.89,27.9,-0.23,20000
"03/31/20 14:00",28.46,28.46,28.12,28.13,-0.31,13400
"03/31/20 13:30",28.21,28.5,28.12,28.44,0.25,16100
"03/31/20 13:00",27.98,28.19,27.98,28.19,0.22,11500
"03/31/20 12:30",28.15,28.28,27.97,27.97,-0.23,14200
"03/31/20 12:00",28.35,28.63,28.2,28.2,-0.15,34200
"03/31/20 11:30",27.91,28.41,27.9,28.35,0.43,22100
"03/31/20 11:00",27.95,28.24,27.82,27.92,-0.049999999999997,45600
"03/31/20 10:30",27.79,28.15,27.73,27.97,0.13,36700
"03/31/20 10:00",27.86,28.06,27.57,27.84,0.07,24500
"03/31/20 09:30",27.26,28.03,27.12,27.77,0.42,31900
"03/30/20 16:00",27.35,27.35,27.35,27.35,0.030000000000001,1600
"03/30/20 15:30",27.06,27.43,26.96,27.32,0.25,86600
"03/30/20 15:00",26.76,27.21,26.76,27.07,0.31,33900
"03/30/20 14:30",26.87,27.02,26.75,26.76,-0.09,25100
